"Race Time","Course","Distance (y)","Race Type","Position","Horse","Weight (pounds)","SP Odds Decimal","BF Decimal SP","Won (1=Won, 0=Lost)","Proform Speed Rating","Evening Price","Breakfast Price","Morning Price","Won P/L Before"
"24/09/2024 1:40:00 PM","Beverley","2187","Turf","","Another Beautiful","137","","1","0","","21","21","15","-8"
"24/09/2024 1:40:00 PM","Beverley","2187","Turf","","Beguiling","129","","1","0","","34","34","34","-5"
"24/09/2024 1:40:00 PM","Beverley","2187","Turf","","Dandy's Angel","130","","1","0","","8","9","7","-7.42"
"24/09/2024 1:40:00 PM","Beverley","2187","Turf","","Dr Rio","138","","1","0","","5","5","5.5","-26.88"
"24/09/2024 1:40:00 PM","Beverley","2187","Turf","","Etretat","137","","1","0","","5.5","5.5","8","-16.1"
"24/09/2024 1:40:00 PM","Beverley","2187","Turf","","Jez Bomb","131","","1","0","","4","4","4.33","-3.25"
"24/09/2024 1:40:00 PM","Beverley","2187","Turf","","Just Hiss","142","","1","0","","15","15","13","-23.75"
"24/09/2024 1:40:00 PM","Beverley","2187","Turf","","Love Yours","134","","1","0","","8","7","8","-8"
"24/09/2024 1:40:00 PM","Beverley","2187","Turf","","Olympicus","137","","1","0","","12","12","12","-3"
"24/09/2024 1:40:00 PM","Beverley","2187","Turf","","Panama City","134","","1","0","","26","26","26","5.33"
"24/09/2024 1:40:00 PM","Beverley","2187","Turf","","Regency Boy","132","","1","0","","13","13","9","-8"
"24/09/2024 2:00:00 PM","Listowel","1555","Turf","","Full Power","133","","1","0","","8","8.5","12",""
"24/09/2024 2:00:00 PM","Listowel","1555","Turf","","Have I Told You","128","","1","0","","41","41","67",""
"24/09/2024 2:00:00 PM","Listowel","1555","Turf","","Hostility","133","","1","0","","5","5","4.5","-1"
"24/09/2024 2:00:00 PM","Listowel","1555","Turf","","Kahu","133","","1","0","","9","9","15","-1"
"24/09/2024 2:00:00 PM","Listowel","1555","Turf","","Nell's Dream","128","","1","0","","51","51","67",""
"24/09/2024 2:00:00 PM","Listowel","1555","Turf","","Nyman","133","","1","0","","13","15","15","-5"
"24/09/2024 2:00:00 PM","Listowel","1555","Turf","","Parkside Prince","133","","1","0","","151","151","251","-2"
"24/09/2024 2:00:00 PM","Listowel","1555","Turf","","Shangar","128","","1","0","","51","51","67",""
"24/09/2024 2:00:00 PM","Listowel","1555","Turf","","Spartan Soldier","133","","1","0","","26","26","17","-1"
"24/09/2024 2:00:00 PM","Listowel","1555","Turf","","Thrice","133","","1","0","","1.67","1.62","1.4","-1"
"24/09/2024 2:00:00 PM","Listowel","1555","Turf","","Trubshaw","133","","1","0","","151","151","151","-2"
"24/09/2024 2:10:00 PM","Beverley","1860","Turf","","Caspi Star","128","","1","0","","5.5","5.5","6","-1"
"24/09/2024 2:10:00 PM","Beverley","1860","Turf","","Divine Legacy","133","","1","0","","17","21","7.5","-2"
"24/09/2024 2:10:00 PM","Beverley","1860","Turf","","Misty Memories","133","","1","0","","3.75","3.75","3.25","-1"
"24/09/2024 2:10:00 PM","Beverley","1860","Turf","","Pendragon","133","","1","0","","67","41","51","-2"
"24/09/2024 2:10:00 PM","Beverley","1860","Turf","","Rogue Diplomat","133","","1","0","","3.75","4.33","5",""
"24/09/2024 2:10:00 PM","Beverley","1860","Turf","","Springbok","133","","1","0","","3","3","4.33","-3"
"24/09/2024 2:10:00 PM","Beverley","1860","Turf","","The Trickster","133","","1","0","","19","15","13",""
