market_id,market_start_time,venue,market_type,selection_id,horse_name,status,last_price_traded,total_matched,highest_back_price
1.23180329,2024-08-16T12:40:00,Epsom,WIN,68504730,Liberty Bird,ACTIVE,5.3,0.0,5.1
1.23180329,2024-08-16T12:40:00,Epsom,WIN,69520246,Enchanted Eye,ACTIVE,5.5,0.0,5.3
1.23180329,2024-08-16T12:40:00,Epsom,WIN,490144,Patrol,ACTIVE,5.8,0.0,5.6
1.23180329,2024-08-16T12:40:00,Epsom,WIN,1532448,Pietro,ACTIVE,8.0,0.0,7.8
1.23180329,2024-08-16T12:40:00,Epsom,WIN,69005900,Jane Garfield,ACTIVE,11.0,0.0,8.6
1.23180329,2024-08-16T12:40:00,Epsom,WIN,68289444,Sabrimento,ACTIVE,11.5,0.0,9.6
1.23180329,2024-08-16T12:40:00,Epsom,WIN,69767905,Dr T H G,ACTIVE,15.0,0.0,12.0
1.23180329,2024-08-16T12:40:00,Epsom,WIN,1117424,Tequila Rose,ACTIVE,19.5,0.0,16.0
1.23180329,2024-08-16T12:40:00,Epsom,WIN,69684786,Havana Dance,ACTIVE,22.0,0.0,18.0
1.231803415,2024-08-16T12:50:00,Wolverhampton,WIN,70362368,New Bombay,ACTIVE,1.83,0.0,1.8
1.231803415,2024-08-16T12:50:00,Wolverhampton,WIN,70867343,Whats She At,ACTIVE,4.7,0.0,4.6
1.231803415,2024-08-16T12:50:00,Wolverhampton,WIN,18983490,Konnichiwa,ACTIVE,6.8,0.0,6.4
1.231803415,2024-08-16T12:50:00,Wolverhampton,WIN,70507410,Coverbridge,ACTIVE,16.0,0.0,14.5
1.231803415,2024-08-16T12:50:00,Wolverhampton,WIN,70148024,Claim To Glory,ACTIVE,24.0,0.0,19.5
1.231803454,2024-08-16T13:05:00,Newbury,WIN,69366446,Rare Change,ACTIVE,3.4,0.0,3.35
1.231803454,2024-08-16T13:05:00,Newbury,WIN,70085725,Miss El Fundi,ACTIVE,4.2,0.0,4.1
1.231803454,2024-08-16T13:05:00,Newbury,WIN,70754959,Priapos,ACTIVE,9.8,0.0,9.6
1.231803454,2024-08-16T13:05:00,Newbury,WIN,71120853,Meeghat,ACTIVE,23.0,0.0,23.0
1.231803454,2024-08-16T13:05:00,Newbury,WIN,69174854,Spirit Of Leros,ACTIVE,16.0,0.0,13.5
1.231803454,2024-08-16T13:05:00,Newbury,WIN,70867352,Fred On Fire,ACTIVE,18.5,0.0,19.0
1.231803454,2024-08-16T13:05:00,Newbury,WIN,67541470,Far Above The Law,ACTIVE,17.5,0.0,16.0
1.231803454,2024-08-16T13:05:00,Newbury,WIN,69333665,Candy,ACTIVE,29.0,0.0,23.0
1.231803454,2024-08-16T13:05:00,Newbury,WIN,69584717,Havana Gila,ACTIVE,25.0,0.0,21.0
1.231803454,2024-08-16T13:05:00,Newbury,WIN,28368895,Siegen,ACTIVE,22.0,0.0,18.0
1.231803454,2024-08-16T13:05:00,Newbury,WIN,70465699,Marrakesh Express,ACTIVE,34.0,0.0,26.0
1.231803454,2024-08-16T13:05:00,Newbury,WIN,40865765,Invincible Crown,ACTIVE,25.0,0.0,19.5
1.231803296,2024-08-16T13:15:00,Epsom,WIN,71953843,Creative Lady,ACTIVE,1.87,0.0,1.86
1.231803296,2024-08-16T13:15:00,Epsom,WIN,1134160,Graduated,ACTIVE,4.3,0.0,4.3
1.231803296,2024-08-16T13:15:00,Epsom,WIN,72617919,Missile Mac,ACTIVE,5.6,0.0,5.5
1.231803296,2024-08-16T13:15:00,Epsom,WIN,72033240,Solano Avenue,ACTIVE,11.0,0.0,10.0
1.231803296,2024-08-16T13:15:00,Epsom,WIN,72651338,Champagnebreakfast,REMOVED,,,
1.231803428,2024-08-16T13:25:00,Wolverhampton,WIN,69142669,Queen Of Soldiers,ACTIVE,2.82,0.0,2.86
1.231803428,2024-08-16T13:25:00,Wolverhampton,WIN,72176825,Pleka,ACTIVE,6.6,0.0,6.0
1.231803428,2024-08-16T13:25:00,Wolverhampton,WIN,17017092,Charlottes Web,ACTIVE,6.6,0.0,5.9
1.231803428,2024-08-16T13:25:00,Wolverhampton,WIN,69366375,French Mistress,ACTIVE,6.6,0.0,5.9
1.231803428,2024-08-16T13:25:00,Wolverhampton,WIN,61112471,Islanova,ACTIVE,8.2,0.0,7.4
1.231803428,2024-08-16T13:25:00,Wolverhampton,WIN,71525768,Samra Star,ACTIVE,21.0,0.0,16.5
1.231803428,2024-08-16T13:25:00,Wolverhampton,WIN,70148021,Mighty Quiet,ACTIVE,40.0,0.0,40.0
1.231803428,2024-08-16T13:25:00,Wolverhampton,WIN,62302775,Beset,ACTIVE,34.0,0.0,32.0
1.231803428,2024-08-16T13:25:00,Wolverhampton,WIN,71695164,Heckling,ACTIVE,50.0,0.0,38.0
1.231803428,2024-08-16T13:25:00,Wolverhampton,WIN,14931528,Tamborine,ACTIVE,190.0,0.0,60.0
1.231803428,2024-08-16T13:25:00,Wolverhampton,WIN,72651352,Aughnagomaun,ACTIVE,,0.0,50.0
1.231803428,2024-08-16T13:25:00,Wolverhampton,WIN,72651351,Em Jay,REMOVED,,,
1.231803461,2024-08-16T13:40:00,Newbury,WIN,71915811,Musical Angel,ACTIVE,4.7,0.0,4.6
1.231803461,2024-08-16T13:40:00,Newbury,WIN,69652911,Toomuchforme,ACTIVE,5.1,0.0,5.0
1.231803461,2024-08-16T13:40:00,Newbury,WIN,70396540,Montrachet Girl,ACTIVE,7.6,0.0,7.8
1.231803461,2024-08-16T13:40:00,Newbury,WIN,69684784,Jewel Of London,ACTIVE,9.8,0.0,8.8
1.231803461,2024-08-16T13:40:00,Newbury,WIN,13349354,Ecology,ACTIVE,10.0,0.0,9.6
1.231803461,2024-08-16T13:40:00,Newbury,WIN,72651358,Jewelry,ACTIVE,13.5,0.0,13.0
1.231803461,2024-08-16T13:40:00,Newbury,WIN,3358853,Commendation,ACTIVE,22.0,0.0,20.0
1.231803461,2024-08-16T13:40:00,Newbury,WIN,13775653,Magic Love,ACTIVE,23.0,0.0,18.5
1.231803461,2024-08-16T13:40:00,Newbury,WIN,72651360,Worthington Lake,ACTIVE,27.0,0.0,19.5
1.231803461,2024-08-16T13:40:00,Newbury,WIN,72651359,Dressed In Blue,ACTIVE,36.0,0.0,22.0
