"Race Time","Course","Distance (y)","Race Type","Official Going","Classifications","Draw","Draw IV","Position","Horse","Jockey Claim","Weight (pounds)","DSLR","Dam","Sire","Form String","SP Odds Decimal","BF Decimal SP","Won (1=Won, 0=Lost)","PRC Average","PRC Last Run","PRC 2nd Last Run","PRC 3rd Last Run","Pace Rating","Pace Rating Rank","OR","OR Rank","Tissue Odds Decimal","PFR Rank","Main","Main Rank","Main Stats","Stats","Stats Rank","Trn Stats","Jky Stats","TrnJky Stats","Hrs Stats","HA Career Speed Rating","HA Career Speed Rating Rank","HA Last 1 Year Speed Rating","HA Last 1 Year Speed Rating Rank","MR Career Speed Rating","MR Career Speed Rating Rank","MR Last 1 Year Speed Rating","MR Last 1 Year Speed Rating Rank","MR Last 3 Runs Speed Rating","MR Last 3 Runs Speed Rating Rank","LTO Speed Rating","LTO Speed Rating Rank","2nd LTO Speed Rating","2nd LTO Speed Rating Rank","3rd LTO Speed Rating","4th LTOt Speed Rating","Evening Price","Breakfast Price","Morning Price",dyHA,dyLTO,dyAVG,dyAVG(x),dyMR,dyMR(x),dy2HA,"Finished Races SR","WON SR Before","Won P/L Before","Plc SR Before","Distance LTO (Same Code)","Distance In Yards LTO (Same Code)","Pounds LTO (Same Code)","Official Rating LTO (Same Code)","Distance To Winner LTO (Same Code)",DSLR(F),DSLR(J),"FLAT TURF Runs Before","FLAT AW Runs Before","CHASE Runs Before","HURDLE Runs Before","NHF Runs Before","ALL FLAT Runs Before","FLAT TURF Wins Before","FLAT AW Wins Before","CHASE Wins Before","HURDLE Wins Before","NHF Wins Before","Distance In Yards LTO","Official Rating LTO","Distance To Winner LTO","Betfair SP Odds LTO (Decimcal)","Speed Rating LTO","PRC Average LTO","PRC Last Run LTO","PRC 2nd Last Run LTO","PRC 3rd Last Run LTO","JSH Mean Movement Rank","Cherry Picked Rating","Today's Going Wins","Today's Going Places","Today's Going Runs","Today's Distance Wins","Today's Distance Places","Today's Distance Runs","Today's Class Wins","Today's Class Places","Today's Class Runs","Today's Course Wins","Today's Course Places","Today's Course Runs","Heavy/Soft Ground Wins","Heavy/Soft Ground Places","Heavy/Soft Ground Runs","Good to Soft Ground Wins","Good to Soft Ground Runs","Good Ground Wins","Good Ground Runs","Good to Firm Ground Wins","Good to Firm Ground Runs","SpeedRating LTO"
"14/11/2024 12:05:00 PM","Sedgefield","3698","Hurdle","Good","Hcap-CJk-Hdle","0","","","Foster's Fortune","0","166","19","Mrs Eff","Cannock Chase","06-7674123","","1","0","90","88","87","94","2","4","98","2","4.5","1","357","1","659","302","6","77","83","84","58","63","3","63","2","51","5","51","4","61","1","63","1","61","2","56","47","4.33","3.75","3","63","63","49","60","47","61","61","100","11.11","10","22.22","2m 51y","3571","157","98","9.75","","19","0","0","0","6","3","0","0","0","0","1","0","3571","98","9.75","6.2","63","85","87","94","73","","","1","1","2","1","1","3","1","1","4","1","1","2","0","0","4","0","3","1","2","0","0","63"
"14/11/2024 12:05:00 PM","Sedgefield","3698","Hurdle","Good","Hcap-CJk-Hdle","0","","","Gieves","3","156","19","Lady Of Appeal","Shirocco","914-9660300","","1","0","59","39","67","71","4","1","88","5","6","4","322","2","650","328","4","69","82","94","83","72","1","72","1","53","3","54","1","53","3","53","4","72","1","53","55","51","67","67","72","16","44","42","46","53","64","92.31","6.67","-5","13.33","2m 1f 14y","3754","154","91","74.4000015258789","","19","0","0","3","10","2","0","0","0","0","1","0","3754","91","74.4000015258789","180.9","16","61","73","48","0","","","1","1","10","0","0","1","0","1","8","0","0","0","0","1","2","0","3","1","10","0","0","16"
"14/11/2024 12:05:00 PM","Sedgefield","3698","Hurdle","Good","Hcap-CJk-Hdle","0","","","I'm Too Tired","0","168","205","Ard Na Sidhe","Ribchester","823233-183P","","1","0","62","27","64","94","0","7","100","1","8","6","285","6","632","347","1","95","80","85","87","62","5","62","4","53","3","53","3","53","3","27","8","53","4","62","38","21","15","17","69","0","49","44","53","27","62","87.5","6.25","-11.67","25","3m 60y","5340","152","102","0","283","205","3","5","0","8","0","8","0","0","0","1","0","5340","102","0","44.73","0","77","64","94","73","","","0","0","1","0","2","3","1","1","8","1","3","4","1","2","7","0","3","0","1","0","0","0"
"14/11/2024 12:05:00 PM","Sedgefield","3698","Hurdle","Good","Hcap-CJk-Hdle","0","","","Inoue","0","142","66","Rose Indienne","Walk In The Park","06UP6","","1","0","49","67","40","40","4","1","74","6","41","7","255","8","559","304","5","82","79","86","57","30","8","30","7","30","8","30","7","30","7","30","6","0","7","0","0","4.5","6","7.5","49","30","20","34","25","0","30","33.33","0","-5","0","2m 47y","3567","147","0","60.0999984741211","","66","0","0","0","3","2","0","0","0","0","0","0","3567","0","60.0999984741211","1000","30","40","40","40","0","","","0","0","1","0","0","2","0","0","1","0","0","0","0","0","2","0","2","0","1","0","0","30"
"14/11/2024 12:05:00 PM","Sedgefield","3698","Hurdle","Good","Hcap-CJk-Hdle","0","","","Love True","8","163","227","Netsuke","Ectot","3-53","","1","0","75","86","57","82","0","7","95","3","7","2","303","5","645","342","2","95","83","78","86","59","6","59","5","54","2","54","1","54","2","59","3","54","3","27","0","3.5","3.75","6.5","59","59","46","46","54","54","54","100","0","-3","66.67","1m 7f 171y","3471","141","0","3","","227","0","0","0","3","0","0","0","0","0","0","0","3471","0","3","96.91","59","70","57","82","0","","","0","1","1","0","1","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","59"
"14/11/2024 12:05:00 PM","Sedgefield","3698","Hurdle","Good","Hcap-CJk-Hdle","0","","","Solway Staree","0","142","17","Kashstaree","Yorgunnabelucky","8/4733P7P-00","","1","0","33","32","39","27","2","4","74","6","29","8","265","7","547","282","7","78","75","86","43","53","7","40","6","42","6","39","5","39","6","38","5","40","5","0","0","101","41","67","54","38","31","43","39","38","53","71.43","0","-10","0","2m 3f 110y","4290","139","74","44.5","","17","0","0","0","7","3","0","0","0","0","0","0","4290","74","44.5","140","38","38","39","27","49","","","0","0","3","0","0","1","0","0","7","0","0","0","0","0","4","0","3","0","3","0","0","38"
"14/11/2024 12:05:00 PM","Sedgefield","3698","Hurdle","Good","Hcap-CJk-Hdle","0","","","Suitably Surprised","3","142","9","Bright Eyes","Walk In The Park","069472","","1","0","73","87","57","76","2","4","74","6","5","2","316","3","585","269","8","86","92","75","16","63","3","63","2","38","7","38","6","47","5","63","1","35","6","47","34","3.5","3.5","2.5","63","63","36","48","36","47","47","100","0","-6","16.67","2m 178y","3698","139","78","3.5","","9","0","0","0","6","0","0","0","0","0","0","0","3698","78","3.5","37.08","63","61","57","76","51","","","0","1","4","0","1","2","0","1","2","0","1","1","0","0","2","0","0","0","4","0","0","63"
"14/11/2024 12:05:00 PM","Sedgefield","3698","Hurdle","Good","Hcap-CJk-Hdle","0","","","Three Platoon","0","158","13","Brevity","Kingman","3743901177","","1","0","49","40","48","58","4","1","90","4","11","5","312","4","643","331","3","82","93","96","60","71","2","28","8","59","1","28","8","28","8","28","7","0","7","0","0","10","12","21","71","55","53","47","57","55","70","85.71","8.33","-14.67","27.78","2m 1f 65y","3805","156","90","83.5","13","34","12","17","1","6","0","29","0","3","0","0","0","2242","65","9.80000019073486","28.65","55","68","93","89","22","","","0","2","6","0","1","3","0","2","9","0","1","1","0","0","4","0","4","0","6","0","5","55"
"14/11/2024 12:20:00 PM","Market Rasen","3645","Hurdle","Good","Mdn-Hdle","0","","","Achille Des Rocs","0","158","","Cyti Rose","Coastal Path","","","1","0","0","0","0","0","0","8","0","3","","6","243","12","519","276","6","56","60","66","94","0","6","0","5","0","6","0","5","0","5","0","5","0","2","0","0","12","13","29","","","","","","","","","","","","","0","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"14/11/2024 12:20:00 PM","Market Rasen","3645","Hurdle","Good","Mdn-Hdle","0","","","Chantilly Moon","3","158","30","Nicknack","Pether's Moon","4-5PP","","1","0","40","40","40","0","2","4","0","3","34","9","253","11","417","164","13","49","47","56","12","0","6","0","5","0","6","0","5","0","5","0","5","0","2","0","0","201","201","101","50","0","21","42","17","0","35","0","0","-4","0","2m 125y","3645","158","0","0","","30","0","0","0","2","2","0","0","0","0","0","0","3645","0","0","180","0","40","40","0","0","","","0","0","2","0","0","3","0","0","2","0","0","2","0","0","0","0","2","0","2","0","0","0"
