"Race Time","Course","Distance (y)","Race Type","Official Going","Classifications","Position","Horse","Jockey Claim","Weight (pounds)","SP Odds Decimal","BF Decimal SP","Won (1=Won, 0=Lost)","PRC Average","PRC Last Run","PRC 2nd Last Run","PRC 3rd Last Run","Pace Rating","Pace Rating Rank","OR","OR Rank","Tissue Odds Decimal","PFR Rank","Main","Main Rank","Main Stats","Stats","Stats Rank","Trn Stats","Jky Stats","TrnJky Stats","Hrs Stats","HA Career Speed Rating","HA Career Speed Rating Rank","HA Last 1 Year Speed Rating","HA Last 1 Year Speed Rating Rank","MR Career Speed Rating","MR Career Speed Rating Rank","MR Last 1 Year Speed Rating","MR Last 1 Year Speed Rating Rank","MR Last 3 Runs Speed Rating","MR Last 3 Runs Speed Rating Rank","LTO Speed Rating","LTO Speed Rating Rank","2nd LTO Speed Rating","2nd LTO Speed Rating Rank","3rd LTO Speed Rating","4th LTOt Speed Rating","Evening Price","Breakfast Price","Morning Price",dyHA,dyLTO,dyAVG,dyAVG(x),dyMR,dyMR(x),dy2HA,"Finished Races SR","WON SR Before","Won P/L Before","Plc SR Before",DSLR(F),DSLR(J),"FLAT TURF Runs Before","FLAT AW Runs Before","CHASE Runs Before","HURDLE Runs Before","NHF Runs Before","ALL FLAT Runs Before","FLAT TURF Wins Before","FLAT AW Wins Before","CHASE Wins Before","HURDLE Wins Before","NHF Wins Before","Distance In Yards LTO","Official Rating LTO","Distance To Winner LTO","Betfair SP Odds LTO (Decimcal)","Speed Rating LTO","PRC Average LTO","PRC Last Run LTO","PRC 2nd Last Run LTO","PRC 3rd Last Run LTO","JSH Mean Movement Rank","Cherry Picked Rating","Today's Going Wins","Today's Going Places","Today's Going Runs","Today's Distance Wins","Today's Distance Places","Today's Distance Runs","Today's Class Wins","Today's Class Places","Today's Class Runs","Today's Course Wins","Today's Course Places","Today's Course Runs","Heavy/Soft Ground Wins","Heavy/Soft Ground Places","Heavy/Soft Ground Runs","Good to Soft Ground Wins","Good to Soft Ground Runs","Good Ground Wins","Good Ground Runs","Good to Firm Ground Wins","Good to Firm Ground Runs","SpeedRating LTO"
"01/09/2024 2:22:00 PM","Brighton","2618","Turf","Good To Firm","Hcap-Ama","5","Miss Raindrop","3","134","26","29.73","0","43","45","25","60","2","3","46","5","34","6","252","5","549","297","4","72","72","86","67","56","5","56","5","45","5","56","2","56","2","56","1","0","6","0","0","34","26","23","56","56","39","36","44","51","52","50","0","-14","0","15","233","8","4","0","2","0","12","0","0","0","0","0","2871","46","5.30000019073486","198.81","56","45","25","60","50","","","0","0","4","0","0","4","0","0","9","0","0","0","0","0","2","0","2","0","2","0","4","56"
"01/09/2024 2:22:00 PM","Brighton","2618","Turf","Good To Firm","Hcap-Ama","6","Breguet Boy","0","141","6","7.01","0","59","29","83","65","6","2","50","4","7","4","294","4","603","309","3","96","92","93","28","70","2","64","2","58","1","55","3","53","4","49","6","59","2","53","64","17","26","7","70","2","54","36","58","49","67","83.33","12.7","-20.7","22.22","34","936","30","27","0","6","0","57","4","2","0","2","0","2084","53","67.3499984741211","12","2","51","37","59","57","","","0","5","10","1","2","9","3","7","28","0","0","1","2","2","12","1","5","3","9","0","10","2"
"01/09/2024 2:30:00 PM","Tipperary","1650","Turf","Good","Mdn-Auc","1","Dignam","0","133","1.44","1.5","1","89","91","87","0","4","1","0","1","10","1","349","2","647","298","3","90","84","72","52","61","2","61","2","60","2","60","2","60","2","61","2","60","1","0","0","3","3","2.38","61","61","60","60","60","60","60","","0","-2","100","18","","2","0","0","0","0","2","0","0","0","0","0","1540","0","0.300000011920929","4.07","61","87","87","0","0","","","0","1","1","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","61"
"01/09/2024 2:30:00 PM","Tipperary","1650","Turf","Good","Mdn-Auc","2","Slick","0","128","9","15.47","0","0","0","0","0","0","5","0","1","","4","205","10","481","276","4","52","63","61","100","0","10","0","10","0","10","0","10","0","10","0","10","0","6","0","0","17","13","8","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"01/09/2024 2:30:00 PM","Tipperary","1650","Turf","Good","Mdn-Auc","3","No Return","0","131","5","7.35","0","73","57","84","78","2","2","0","1","5","3","350","1","482","132","12","50","69","57","-44","60","3","60","3","57","3","57","3","57","3","57","3","60","1","55","0","5","5","3.5","60","57","57","57","57","57","57","","0","-3","33.33","7","","3","0","0","0","0","3","0","0","0","0","0","1305","0","3.29999995231628","5.5","57","81","84","78","0","","","0","1","3","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","3","0","0","57"
"01/09/2024 2:30:00 PM","Tipperary","1650","Turf","Good","Mdn-Auc","4","The Mizen Queen","3","121","67","154.41","0","32","32","0","0","0","5","0","1","17","6","265","4","516","251","7","70","61","76","44","55","4","55","4","55","4","55","4","55","4","55","4","0","6","0","0","51","51","29","55","55","55","55","55","55","","","0","-1","0","52","","1","0","0","0","0","1","0","0","0","0","0","1575","0","15.3000001907349","101.06","55","0","0","0","0","","","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","55"
"01/09/2024 2:30:00 PM","Tipperary","1650","Turf","Good","Mdn-Auc","5","Temperance","0","128","26","51.24","0","0","0","0","0","0","5","0","1","","4","205","10","523","318","2","59","95","64","100","0","10","0","10","0","10","0","10","0","10","0","10","0","6","0","0","34","34","12","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"01/09/2024 2:30:00 PM","Tipperary","1650","Turf","Good","Mdn-Auc","6","School Of Athens","0","130","29","47.63","0","0","0","0","0","0","5","0","1","","6","197","12","551","354","1","80","79","95","100","0","10","0","10","0","10","0","10","0","10","0","10","0","6","0","0","23","23","13","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"01/09/2024 2:30:00 PM","Tipperary","1650","Turf","Good","Mdn-Auc","7","Whywhywhy Delilah","0","124","12","18.11","0","77","77","0","0","0","5","0","1","11","2","332","3","515","183","10","46","34","59","44","63","1","63","1","63","1","63","1","63","1","63","1","0","6","0","0","7.5","21","17","63","63","63","63","63","63","","","0","-1","0","28","","1","0","0","0","0","1","0","0","0","0","0","1540","0","6.25","29.37","63","0","0","0","0","","","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","63"
"01/09/2024 2:30:00 PM","Tipperary","1650","Turf","Good","Mdn-Auc","8","Let It Linger","0","126","67","190","0","40","40","0","0","0","5","0","1","17","6","249","5","524","275","5","75","82","74","44","43","7","43","7","43","5","43","5","43","5","43","7","0","6","0","0","34","34","21","43","43","43","43","43","43","","","0","-1","0","61","","1","0","0","0","0","1","0","0","0","0","0","1636","0","23.8999996185303","16.31","43","0","0","0","0","","","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","43"
"01/09/2024 2:30:00 PM","Tipperary","1650","Turf","Good","Mdn-Auc","9","Vlhova","0","124","29","65","0","56","56","0","0","0","5","0","1","19","6","231","9","448","217","8","32","45","56","84","43","7","43","7","43","5","43","5","43","5","43","7","0","6","0","0","21","34","29","43","43","43","43","43","43","","","0","-1","0","65","","1","0","0","0","0","1","0","0","0","0","0","1540","0","11.5500001907349","75","43","0","0","0","0","","","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","43"
"01/09/2024 2:30:00 PM","Tipperary","1650","Turf","Good","Mdn-Auc","10","Admiral Halsey","3","124","101","250","0","45","51","39","0","0","5","0","1","41","6","243","7","455","212","9","70","26","64","52","44","6","44","6","42","7","42","7","42","7","44","6","41","3","0","0","51","67","34","44","44","42","42","42","42","41","","0","-2","0","10","","2","0","0","0","0","2","0","0","0","0","0","1570","0","5.5","120","44","39","39","0","0","","","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","44"
"01/09/2024 2:30:00 PM","Tipperary","1650","Turf","Good","Mdn-Auc","11","Kamkwahba","0","122","201","1000","0","39","27","51","0","2","2","0","1","41","6","240","8","366","126","13","22","50","42","12","39","9","39","9","33","8","33","8","33","8","27","9","39","4","0","0","67","101","81","39","27","33","33","33","33","27","","0","-2","0","16","","2","0","0","0","0","2","0","0","0","0","0","1100","0","21.1000003814697","1000","27","51","51","0","0","","","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","27"
"01/09/2024 2:30:00 PM","Tipperary","1650","Turf","Good","Mdn-Auc","12","Drish Samphire","5","115","201","613.96","0","36","32","40","0","2","2","0","1","41","6","244","6","406","162","11","38","58","54","12","46","5","46","5","27","9","27","9","27","9","46","5","8","5","0","0","101","101","81","46","46","27","27","27","27","8","","0","-2","0","16","","2","0","0","0","0","2","0","0","0","0","0","1100","0","9.10000038146973","973.5","46","40","40","0","0","","","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","46"
"01/09/2024 2:30:00 PM","Tipperary","1650","Turf","Good","Mdn-Auc","13","Pallatine Hills","0","129","51","91.36","0","0","0","0","0","0","5","0","1","","6","197","12","465","268","6","37","67","64","100","0","10","0","10","0","10","0","10","0","10","0","10","0","6","0","0","23","23","13","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"01/09/2024 2:52:00 PM","Brighton","1160","Turf","Good To Firm","Mdn","1","Acrisius","0","133","2","1.98","1","68","80","84","39","10","1","72","1","1.3","1","376","1","721","345","4","92","92","97","64","62","1","62","1","59","1","59","1","59","1","59","1","62","1","45","0","2.25","2","1.73","62","59","49","55","52","59","59","","0","-4","50","18","","3","1","0","0","0","4","0","0","0","0","0","1100","74","1.25","9.26","59","62","84","39","0","","","0","2","3","0","2","2","0","2","3","0","0","0","0","0","0","0","0","0","0","0","3","59"
"01/09/2024 2:52:00 PM","Brighton","1160","Turf","Good To Firm","Mdn","2","Rory Rocket","0","133","12","17.66","0","0","0","0","0","0","3","0","2","","3","338","4","716","378","1","93","90","95","100","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","0","9","10","10","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"01/09/2024 2:52:00 PM","Brighton","1160","Turf","Good To Firm","Mdn","3","One For Harvey","0","128","5","5.96","0","0","0","0","0","0","3","0","2","","3","346","3","716","370","3","89","91","90","100","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","0","2.5","3","3.5","47","47","47","47","47","47","","","0","-1","100","47","","0","1","0","0","0","1","0","0","0","0","0","1320","0","3.25","54.34","47","0","0","0","0","","","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","47"
"01/09/2024 2:52:00 PM","Brighton","1160","Turf","Good To Firm","Mdn","4","Cheeky Stanley","0","133","3.25","3.59","0","60","60","59","0","2","2","0","2","4","2","355","2","729","374","2","96","97","89","92","48","2","48","2","45","2","45","2","45","2","43","2","48","2","0","0","7.5","7.5","8","48","43","45","45","45","45","43","","0","-2","0","30","","2","0","0","0","0","2","0","0","0","0","0","1260","0","4.5","9.2","43","59","59","0","0","","","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","43"
"01/09/2024 3:00:00 PM","Tipperary","1650","Turf","Good","Con","1","Malex","0","135","5","5.61","1","80","69","82","89","10","1","92","3","","3","279","3","590","311","3","74","81","87","69","71","4","0","3","62","4","0","3","0","3","0","3","0","3","0","0","34","34","26","71","61","64","62","62","61","64","","25","4","0","808","","4","0","0","0","0","4","1","0","0","0","0","1760","98","18.25","99.22","61","89","82","89","96","","","0","0","1","1","0","4","1","0","1","0","0","0","0","0","1","1","1","0","1","0","1","61"
"01/09/2024 3:00:00 PM","Tipperary","1650","Turf","Good","Con","2","Star Galaxy","0","130","3.5","3.69","0","88","84","89","90","2","3","94","2","8.5","2","308","2","600","292","4","97","78","80","37","75","2","75","1","69","1","70","1","72","1","72","1","70","1","75","22","8","8","7.5","75","72","62","72","69","72","74","","12.5","-2.5","12.5","9","","8","0","0","0","0","8","1","0","0","0","0","1790","94","3.40000009536743","30","72","86","89","90","80","","","1","1","4","0","0","2","0","0","2","0","0","0","0","0","3","0","1","1","4","0","0","72"
"01/09/2024 3:00:00 PM","Tipperary","1650","Turf","Good","Con","3","Warrior Brave","0","135","2","2.1","0","73","67","71","80","10","1","99","1","4.5","1","330","1","644","314","2","82","94","90","48","77","1","70","2","64","2","67","2","68","2","70","2","68","2","62","67","3","3","3.75","77","70","63","66","65","68","75","","21.43","-0.67","14.29","39","","24","4","0","0","0","28","4","2","0","0","0","1540","96","0.5","5.49","70","73","80","74","64","","","2","1","12","1","1","4","2","2","5","0","0","1","1","0","4","0","2","2","12","1","6","70"
"01/09/2024 3:00:00 PM","Tipperary","1650","Turf","Good","Con","4","Nightcliff","5","125","11","12.5","0","86","90","83","85","2","3","88","4","13","4","271","4","601","330","1","97","83","82","68","75","2","0","3","63","3","0","3","0","3","0","3","0","3","0","0","10","10","9","75","68","62","64","63","65","74","","12.5","-1.5","0","395","","8","0","0","0","0","8","1","0","0","0","0","1540","93","4.34999990463257","32","68","85","83","85","86","","","0","0","3","1","0","7","1","0","3","0","0","0","1","0","4","0","1","0","3","0","0","68"
"01/09/2024 3:22:00 PM","Brighton","1315","Turf","Good To Firm","Hcap-Nur","1","Spring","0","135","4.33","4.1","1","50","60","40","0","4","1","55","2","13","7","302","6","617","315","5","81","83","79","72","43","8","43","8","43","4","43","4","43","6","43","7","43","4","0","0","4.5","4.5","4.5","48","48","44","44","43","43","43","","0","-3","0","17","","2","1","0","0","0","3","0","0","0","0","0","1320","0","9.80000019073486","34","48","0","0","0","0","","","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","48"
"01/09/2024 3:22:00 PM","Brighton","1315","Turf","Good To Firm","Hcap-Nur","2","Cassandraalexandra","0","128","3.75","4.25","0","54","57","57","47","2","6","48","7","7","2","323","3","606","283","7","86","91","74","32","57","1","57","1","45","3","45","3","49","2","57","1","49","2","45","41","5.5","5.5","5","57","57","45","50","45","49","49","","0","-5","0","13","","5","0","0","0","0","5","0","0","0","0","0","1332","46","0.200000002980232","8","57","46","57","47","33","","","0","0","3","0","0","3","0","0","2","0","0","0","0","0","0","0","0","0","2","0","3","57"
"01/09/2024 3:22:00 PM","Brighton","1315","Turf","Good To Firm","Hcap-Nur","3","Lift Lady","0","127","9","10.28","0","44","42","24","67","4","1","47","8","6.5","5","310","4","597","287","6","84","91","84","28","52","3","52","3","43","4","43","4","45","5","45","6","41","6","52","48","17","19","17","52","45","38","46","45","45","51","","0","-7","14.29","20","","6","1","0","0","0","7","0","0","0","0","0","1332","50","7.5","14.53","45","39","24","67","25","","","0","1","3","0","0","4","0","1","4","0","0","0","0","0","1","0","1","0","1","0","3","45"
"01/09/2024 3:22:00 PM","Brighton","1315","Turf","Good To Firm","Hcap-Nur","4","Kaleidoscope Eyes","5","127","7","7.6","0","64","78","53","61","4","1","52","4","7","4","310","4","633","323","2","77","90","96","60","51","5","51","5","41","7","41","7","39","7","51","3","28","7","39","44","7","7","6","51","51","40","39","41","39","44","","0","-4","25","20","","4","0","0","0","0","4","0","0","0","0","0","1332","53","3.25","33.99","51","59","53","61","64","","","0","1","2","0","1","3","0","1","1","0","0","1","0","0","0","0","0","0","2","0","2","51"
"01/09/2024 3:22:00 PM","Brighton","1315","Turf","Good To Firm","Hcap-Nur","5","Rosy Hope","0","134","7","9.2","0","60","67","67","45","4","1","54","3","6.5","3","351","2","619","268","8","76","74","78","40","52","3","52","3","48","1","48","1","51","1","51","3","52","1","42","46","7.5","7","5.5","52","51","47","51","48","51","51","","0","-6","33.33","12","","4","2","0","0","0","6","0","0","0","0","0","1160","54","1.10000002384186","6.24","51","57","67","45","60","","","0","1","2","0","1","2","0","2","3","0","1","1","0","0","0","0","1","0","1","0","2","51"
"01/09/2024 3:22:00 PM","Brighton","1315","Turf","Good To Firm","Hcap-Nur","6","Broadhaven Bay","0","139","8","9.95","0","58","89","45","40","2","6","59","1","3.7","1","357","1","717","360","1","88","85","87","100","53","2","53","2","43","4","43","4","46","4","53","2","46","3","39","41","3.75","4","5.5","53","53","44","46","43","46","46","","25","6","0","12","","4","0","0","0","0","4","1","0","0","0","0","1160","55","0","12.22","53","46","45","40","52","","","1","0","3","0","0","0","1","0","1","1","0","2","0","0","0","0","0","0","1","1","3","53"
"01/09/2024 3:22:00 PM","Brighton","1315","Turf","Good To Firm","Hcap-Nur","7","Ruby Rascal","0","129","9.5","11.47","0","54","49","48","66","0","8","49","6","26","8","275","8","596","321","3","96","67","78","80","48","6","48","6","47","2","47","2","47","3","47","5","43","4","48","0","7","7","7","48","47","46","46","46","47","47","","0","-4","0","20","","3","1","0","0","0","4","0","0","0","0","0","1332","51","5.75","9.41","47","57","48","66","0","","","0","0","2","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","2","47"
