"Race Time","Course","Distance (y)","Race Type","Official Going","Classifications","Draw","Draw IV","Position","Horse","Jockey Claim","Weight (pounds)","DSLR","Dam","Sire","Form String","SP Odds Decimal","BF Decimal SP","Won (1=Won, 0=Lost)","PRC Average","PRC Last Run","PRC 2nd Last Run","PRC 3rd Last Run","Pace Rating","Pace Rating Rank","OR","OR Rank","Tissue Odds Decimal","PFR Rank","Main","Main Rank","Main Stats","Stats","Stats Rank","Trn Stats","Jky Stats","TrnJky Stats","Hrs Stats","HA Career Speed Rating","HA Career Speed Rating Rank","HA Last 1 Year Speed Rating","HA Last 1 Year Speed Rating Rank","MR Career Speed Rating","MR Career Speed Rating Rank","MR Last 1 Year Speed Rating","MR Last 1 Year Speed Rating Rank","MR Last 3 Runs Speed Rating","MR Last 3 Runs Speed Rating Rank","LTO Speed Rating","LTO Speed Rating Rank","2nd LTO Speed Rating","2nd LTO Speed Rating Rank","3rd LTO Speed Rating","4th LTOt Speed Rating","Evening Price","Breakfast Price","Morning Price",dyHA,dyLTO,dyAVG,dyAVG(x),dyMR,dyMR(x),dy2HA,"Finished Races SR","WON SR Before","Won P/L Before","Plc SR Before","Distance LTO (Same Code)","Distance In Yards LTO (Same Code)","Pounds LTO (Same Code)","Official Rating LTO (Same Code)","Distance To Winner LTO (Same Code)",DSLR(F),DSLR(J),"FLAT TURF Runs Before","FLAT AW Runs Before","CHASE Runs Before","HURDLE Runs Before","NHF Runs Before","ALL FLAT Runs Before","FLAT TURF Wins Before","FLAT AW Wins Before","CHASE Wins Before","HURDLE Wins Before","NHF Wins Before","Distance In Yards LTO","Official Rating LTO","Distance To Winner LTO","Betfair SP Odds LTO (Decimcal)","Speed Rating LTO","PRC Average LTO","PRC Last Run LTO","PRC 2nd Last Run LTO","PRC 3rd Last Run LTO","JSH Mean Movement Rank","Cherry Picked Rating","Today's Going Wins","Today's Going Places","Today's Going Runs","Today's Distance Wins","Today's Distance Places","Today's Distance Runs","Today's Class Wins","Today's Class Places","Today's Class Runs","Today's Course Wins","Today's Course Places","Today's Course Runs","Heavy/Soft Ground Wins","Heavy/Soft Ground Places","Heavy/Soft Ground Runs","Good to Soft Ground Wins","Good to Soft Ground Runs","Good Ground Wins","Good Ground Runs","Good to Firm Ground Wins","Good to Firm Ground Runs","SpeedRating LTO"
"11/11/2024 12:00:00 PM","Carlisle","4390","Chase","Good","Hcap-Nov-Cha","0","","","Asta La Pasta","0","156","29","Asian Maze","Walk In The Park","4/11331-103","","1","0","82","82","0","0","2","2","124","2","2.63","1","361","1","744","383","1","99","99","99","86","55","2","55","2","55","1","55","1","55","1","55","1","0","2","0","0","2.2","2.25","2.25","74","55","48","63","58","67","68","100","44.44","2.28","22.22","2m","3520","164","124","6.5","","29","0","0","1","6","2","0","0","0","0","3","1","3520","124","6.5","6.6","55","0","0","0","0","","","1","0","1","0","0","1","0","2","2","0","0","0","1","0","3","2","5","1","1","0","0","55"
"11/11/2024 12:00:00 PM","Carlisle","4390","Chase","Good","Hcap-Nov-Cha","0","","","Kilta","0","149","138","Coco Be Cool","Curtain Time","3466-127153","","1","0","67","77","40","84","2","2","117","3","4.33","2","343","3","701","358","3","91","90","91","86","74","1","74","1","53","2","53","2","53","2","53","2","47","1","74","0","13","13","13","74","53","54","58","54","53","63","100","16.67","0.63","16.67","2m 7f","5060","145","122","27","","138","0","0","3","6","3","0","0","0","1","1","0","5060","122","27","9.4","53","62","40","84","0","","","0","1","5","0","0","0","1","0","2","0","0","1","2","1","6","0","1","0","5","0","0","53"
"11/11/2024 12:00:00 PM","Carlisle","4390","Chase","Good","Hcap-Nov-Cha","0","","","Pic Roc","0","164","198","South Africa","Mount Nelson","5/325-2122","","1","0","0","0","0","0","8","1","132","1","2.63","2","358","2","733","375","2","96","96","95","88","0","3","0","3","0","3","0","3","0","3","0","3","0","2","0","0","1.8","1.8","1.8","76","75","63","75","66","75","75","100","12.5","-1.5","62.5","2m 3f 173y","4353","153","128","6.5","","198","0","0","0","5","3","0","0","0","0","1","0","4353","128","6.5","4.91","75","93","98","96","85","","","0","1","2","0","2","2","0","0","1","0","0","0","0","2","3","1","3","0","2","0","0","75"
"11/11/2024 12:30:00 PM","Carlisle","3773","Hurdle","Good","Mdn-Hdle","0","","","Barrabooka","0","158","","Poppy Baloo","Presenting","","","1","0","0","0","0","0","0","4","0","1","","3","295","7","646","351","2","88","84","87","92","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","0","4.5","5.5","6.5","","","","","","","","","","","","","0","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"11/11/2024 12:30:00 PM","Carlisle","3773","Hurdle","Good","Mdn-Hdle","0","","","Barrister Blaster","0","158","492","Dansante","Toronado","7697390/976-","","1","0","0","0","0","0","4","2","0","1","","7","305","6","595","290","6","62","68","68","92","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","0","101","101","81","66","66","47","51","51","55","59","","0","-14","7.14","","0","","","","492","","10","4","0","0","0","14","0","0","0","0","0","1980","46","3.95000004768372","19.07","66","47","39","78","24","","","0","0","3","0","0","0","0","0","1","0","0","3","0","1","4","0","0","0","3","0","3","66"
"11/11/2024 12:30:00 PM","Carlisle","3773","Hurdle","Good","Mdn-Hdle","0","","","Beorma","0","151","33","Mourneseafood Lass","Doyen","730","","1","0","0","0","0","0","4","2","0","1","12","5","313","5","676","363","1","99","99","95","70","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","0","9","9","19","53","42","47","47","46","46","46","","0","-3","0","2m 178y","3698","149","0","45.7000007629395","","33","0","0","0","0","3","0","0","0","0","0","0","3698","0","45.7000007629395","20","42","54","64","43","0","","","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","2","0","1","0","0","42"
"11/11/2024 12:30:00 PM","Carlisle","3773","Hurdle","Good","Mdn-Hdle","0","","","Cahier's Den","0","158","","Caballo Sin Nombre","Idaho","","","1","0","0","0","0","0","0","4","0","1","","7","279","8","592","313","4","88","64","69","92","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","0","10","10","12","","","","","","","","","","","","","0","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"11/11/2024 12:30:00 PM","Carlisle","3773","Hurdle","Good","Mdn-Hdle","0","","","Cringle Burn","0","158","","Pixie Lane","Doyen","","","1","0","0","0","0","0","0","4","0","1","","7","279","8","568","289","7","63","63","71","92","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","0","23","23","23","","","","","","","","","","","","","0","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"11/11/2024 12:30:00 PM","Carlisle","3773","Hurdle","Good","Mdn-Hdle","0","","","Fond Farewell","0","158","13","Sabaidee","Vadamos","754/194-8968","","1","0","70","73","67","0","0","4","0","1","5.5","2","350","2","658","308","5","83","82","89","54","52","1","52","1","50","1","50","1","50","1","52","1","49","1","0","0","101","101","51","70","52","54","48","52","49","63","100","7.69","2","7.69","2m 145y","3665","151","0","39.3499984741211","111","13","10","1","0","2","0","11","1","0","0","0","0","3665","0","39.3499984741211","463.25","52","67","67","0","0","","","0","0","3","0","0","1","0","0","2","0","0","0","1","0","5","0","4","0","3","0","0","52"
"11/11/2024 12:30:00 PM","Carlisle","3773","Hurdle","Good","Mdn-Hdle","0","","","Foreva Alfie","0","158","710","Chitty Bang Bang","Arcadio","5-","","1","0","0","0","0","0","0","4","0","1","","10","277","10","555","278","8","70","69","69","70","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","0","34","34","41","36","36","36","36","36","36","","","0","-1","0","2m 178y","3698","154","0","11.1000003814697","","710","0","0","0","0","1","0","0","0","0","0","0","3698","0","11.1000003814697","17.5","36","0","0","0","0","","","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","36"
